item_name;item_category;designation;conductor_material;insulation_material;r_ohm_per_km;x_ohm_per_km;c_nf_per_km;max_i_ka;type;r0n_ohm_per_km;x0n_ohm_per_km;r0g_ohm_per_km;x0g_ohm_per_km;phase_sc_current_rating;cpe_sc_current_rating
3.5C x 95 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx95/50 A2XFY;Aluminium;XLPE/EPR;0.41;0.0725;650;0.216;Under Ground;1.23;0.2175;1.23;0.2175;8.98;
3.5C x 95 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx95/50 A2XFY;Aluminium;XLPE/EPR;0.41;0.0725;650;0.167;Under Ground;1.23;0.2175;1.23;0.2175;8.98;
3.5C x 120 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx120/70 A2XFY;Aluminium;XLPE/EPR;0.325;0.0713;670;0.223;Under Ground;0.975;0.2139;0.975;0.2139;11.34;
3.5C x 120 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx120/70 A2XFY;Aluminium;XLPE/EPR;0.325;0.0713;670;0.249;Under Ground;0.975;0.2139;0.975;0.2139;11.34;
3.5C x 120 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx120/70 A2XFY;Aluminium;XLPE/EPR;0.325;0.0713;670;0.19;Under Ground;0.975;0.2139;0.975;0.2139;11.34;
3.5C x 150 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx150/70 A2XFY;Aluminium;XLPE/EPR;0.264;0.0718;640;0.249;Under Ground;0.792;0.2154;0.792;0.2154;14.18;
3.5C x 150 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx150/70 A2XFY;Aluminium;XLPE/EPR;0.264;0.0718;640;0.284;Under Ground;0.792;0.2154;0.792;0.2154;14.18;
3.5C x 150 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx150/70 A2XFY;Aluminium;XLPE/EPR;0.264;0.0718;640;0.212;Under Ground;0.792;0.2154;0.792;0.2154;14.18;
3.5C x 185 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx185/95 A2XFY;Aluminium;XLPE/EPR;0.211;0.072;630;0.282;Under Ground;0.633;0.216;0.633;0.216;17.48;
3.5C x 185 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx185/95 A2XFY;Aluminium;XLPE/EPR;0.211;0.072;630;0.329;Under Ground;0.633;0.216;0.633;0.216;17.48;
3.5C x 185 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx185/95 A2XFY;Aluminium;XLPE/EPR;0.211;0.072;630;0.24;Under Ground;0.633;0.216;0.633;0.216;17.48;
3.5C x 240 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx240/120 A2XFY;Aluminium;XLPE/EPR;0.161;0.0713;670;0.327;Under Ground;0.483;0.2139;0.483;0.2139;22.68;
3.5C x 240 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx240/120 A2XFY;Aluminium;XLPE/EPR;0.161;0.0713;670;0.392;Under Ground;0.483;0.2139;0.483;0.2139;22.68;
3.5C x 240 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx240/120 A2XFY;Aluminium;XLPE/EPR;0.161;0.0713;670;0.278;Under Ground;0.483;0.2139;0.483;0.2139;22.68;
3.5C x 300 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx300/150 A2XFY;Aluminium;XLPE/EPR;0.129;0.0703;710;0.369;Under Ground;0.387;0.2109;0.387;0.2109;28.35;
3.5C x 300 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx300/150 A2XFY;Aluminium;XLPE/EPR;0.129;0.0703;710;0.452;Under Ground;0.387;0.2109;0.387;0.2109;28.35;
3.5C x 300 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx300/150 A2XFY;Aluminium;XLPE/EPR;0.129;0.0703;710;0.314;Under Ground;0.387;0.2109;0.387;0.2109;28.35;
3.5C x 400 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx400/185 A2XFY;Aluminium;XLPE/EPR;0.101;0.0702;720;0.42;Under Ground;0.303;0.2106;0.303;0.2106;37.8;
3.5C x 400 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx400/185 A2XFY;Aluminium;XLPE/EPR;0.101;0.0702;720;0.526;Under Ground;0.303;0.2106;0.303;0.2106;37.8;
3.5C x 400 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx400/185 A2XFY;Aluminium;XLPE/EPR;0.101;0.0702;720;0.357;Under Ground;0.303;0.2106;0.303;0.2106;37.8;
3.5C x 500 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Ground);3.5Cx500/240 A2XFY;Aluminium;XLPE/EPR;0.0786;0.07;740;0.478;Under Ground;0.2358;0.21;0.2358;0.21;47.25;
3.5C x 500 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Air);3.5Cx500/240 A2XFY;Aluminium;XLPE/EPR;0.0786;0.07;740;0.612;Under Ground;0.2358;0.21;0.2358;0.21;47.25;
3.5C x 500 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 3.5C (In Duct);3.5Cx500/240 A2XFY;Aluminium;XLPE/EPR;0.0786;0.07;740;0.406;Under Ground;0.2358;0.21;0.2358;0.21;47.25;
4C x 4 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Ground);4Cx4 A2XFY;Aluminium;XLPE/EPR;9.5;0.0933;250;0.035;Under Ground;28.5;0.2799;28.5;0.2799;0.38;
4C x 4 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Air);4Cx4 A2XFY;Aluminium;XLPE/EPR;9.5;0.0933;250;0.032;Under Ground;28.5;0.2799;28.5;0.2799;0.38;
